id	Length	Description
NRRL3_03568	1596	SUMO conjugation (E2) enzyme
NRRL3_03569	570	TRAPII complex component, mediates Rab guanyl-nucleotide exchange factor activity, involved in Golgi vesicle-mediated transport
NRRL3_03570	993	malate dehydrogenase precursor
NRRL3_03571	462	60S ribosomal protein eL28
NRRL3_03572	375	uncharacterized protein
NRRL3_03573	1056	spliceosome-associated protein 49
NRRL3_03574	162	mitochondrial import receptor subunit Tom7
NRRL3_03575	981	mitochondrial carrier protein-like protein
NRRL3_03576	1344	zinc finger domain-containing protein, C2H2-type
NRRL3_03577	1773	WD repeat-containing protein, required for sexual development
NRRL3_03578	1059	delta(7)-sterol 5(6)-desaturase
NRRL3_03579	2550	nuclear cap-binding protein subunit 1-like protein
NRRL3_03580	1185	protein kinase GSK3
NRRL3_03581	1065	eukaryotic porin/Tom40 family protein
NRRL3_03582	1608	fructose-2,6-bisphosphatase-like protein
NRRL3_03583	357	ubiquitin-related modifier 1
NRRL3_03584	2421	WD repeat-containing protein
NRRL3_03585	846	CCR4-associated factor 16
NRRL3_03586	1491	tRNA isopentenyltransferase-like protein
NRRL3_03587	1107	decapping nuclease
NRRL3_03588	1050	uncharacterized protein
NRRL3_03589	522	hypothetical protein
NRRL3_03590	1059	replication factor C subunit 4
NRRL3_03591	924	peptidoglycan deacetylase
NRRL3_03592	1632	amidase family protein
NRRL3_03593	2130	fungal-specific transcription factor
NRRL3_03594	1602	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_03595	1836	glycoside hydrolase family 32 protein
NRRL3_03596	1824	amino acid/polyamine transporter I family protein
NRRL3_03597	1161	NADH-cytochrome b5 reductase-like protein
NRRL3_03598	2310	homoaconitase, mitochondrial
NRRL3_03599	3216	ankyrin repeat domain-containing protein
NRRL3_03600	1863	tRNA modification GTPase MnmE-like protein, mitochondrial
NRRL3_03601	5436	formin domain-containing protein
NRRL3_03602	444	hypothetical protein
NRRL3_03603	1260	formate dehydrogenase
NRRL3_03604	2970	leucine-tRNA ligase, mitochondrial
NRRL3_03605	2103	hypothetical protein
NRRL3_03606	1668	lysophospholipid acyltransferase
NRRL3_03607	1791	vacuolar protein sorting-associated protein 45
NRRL3_03608	4437	TRAPII complex component
NRRL3_03609	5232	uncharacterized protein
NRRL3_03610	972	mediator of RNA polymerase II transcription subunit 6
NRRL3_03611	774	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG-like protein
NRRL3_03612	789	proteasome subunit alpha type-6
NRRL3_03613	387	vacuolar protein sorting-associated protein 55
NRRL3_03614	1371	hypothetical protein
NRRL3_03615	522	uncharacterized protein
NRRL3_03616	663	Hsp70 nucleotide exchange factor Fes1
NRRL3_03617	1128	actin, gamma
NRRL3_03618	2427	bifunctional purine biosynthetic protein
NRRL3_03619	2214	mitochondrial Pet127-like protein
NRRL3_03620	3933	pleckstrin homology domain-containing protein
NRRL3_03621	471	hypothetical protein
NRRL3_03622	735	imidazole glycerol-phosphate dehydratase
NRRL3_03623	645	hypothetical protein
NRRL3_03624	1080	GDP-mannose:inositol-phosphorylceramide transferase
NRRL3_03625	741	derlin family protein
NRRL3_03626	552	histone H3
NRRL3_03627	2709	chromatid cohesion factor MAU2-like protein
NRRL3_03628	1212	F-box domain-containing protein
NRRL3_03629	1464	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_03630	570	60S ribosomal subunit assembly/export protein
NRRL3_03631	372	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6-like protein
NRRL3_03632	417	DNA-directed RNA polymerases I and III subunit RPAC2
NRRL3_03633	1419	hypothetical protein
NRRL3_03634	1086	ribosomal RNA biogenesis protein
NRRL3_03635	2199	serine phosphatase Fcp1 homology domain-containing protein
NRRL3_03636	1236	translation elongation factor 1 gamma
NRRL3_03637	954	37S ribosomal protein uS9m
NRRL3_03638	1164	hypothetical protein
NRRL3_03639	1215	F-box domain-containing protein
NRRL3_03640	1647	fungal-specific transcription factor
NRRL3_03641	2388	carbohydrate-binding module family 50 protein
NRRL3_03642	1002	metallopeptidase catalytic domain-containing protein
NRRL3_03643	1632	chitinase
NRRL3_03644	1917	GDSL-like lipase/acylhydrolase family protein
NRRL3_03645	1437	protein kinase domain-containing protein
NRRL3_03646	582	calcineurin regulatory subunit
NRRL3_03647	1743	enhancer of polycomb-like protein 1
NRRL3_03648	1470	Rubisco LSMT, substrate-binding domain-containing protein
NRRL3_03649	1086	tRNA N6-adenosine threonylcarbamoyltransferase
NRRL3_03650	1377	carbohydrate-binding module family 48 protein
NRRL3_03651	405	hypothetical protein
NRRL3_03652	1476	alpha-mannosyltransferase-like protein
NRRL3_03653	2157	ABC1 family protein
NRRL3_03654	906	urease accessory protein UreF-like protein
NRRL3_03655	2181	E3 ubiquitin-protein ligase
NRRL3_03656	1734	transcription factor TFIIIB component B-like protein
NRRL3_03657	915	store-operated calcium entry-associated regulatory factor-like protein
NRRL3_03658	1455	maintenance of mitochondrial morphology protein
NRRL3_03659	537	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
NRRL3_03660	2097	mitochondrial translation optimization protein 1
NRRL3_03661	990	CDP-alcohol phosphatidyltransferase family protein
NRRL3_03662	894	hypothetical protein
NRRL3_03663	1428	gluconate transport inducer 1/Pac2 family protein
NRRL3_03664	1338	hypothetical protein
NRRL3_03665	4608	CDR ABC transporter domain-containing protein
NRRL3_03666	2049	tyrosyl-DNA phosphodiesterase I-like protein
NRRL3_03667	702	hypothetical protein
NRRL3_03668	471	proteasome assembly chaperone 3-like protein
NRRL3_03669	3600	helicase, C-terminal domain-containing protein
NRRL3_03670	630	pre-mRNA splicing factor Cwc21
NRRL3_03671	2739	pumilio homology domain-containing protein
NRRL3_03672	549	hypothetical protein
NRRL3_03673	1059	hypothetical protein
NRRL3_03674	663	hypothetical protein
NRRL3_03675	4701	tuberin domain-containing protein
NRRL3_03676	2889	nuclear export receptor
NRRL3_03677	597	peptide chain release factor class I/class II domain-containing protein
NRRL3_03678	360	small subunit of serine palmitoyltransferase-like protein
NRRL3_03679	321	cytochrome c oxidase chaperone Pet100-like protein
NRRL3_03680	834	crotonase superfamily protein
NRRL3_03681	1257	cell division cycle protein 123
NRRL3_03682	2376	conserved oligomeric Golgi complex subunit 1-like protein
NRRL3_03683	1350	coiled-coil domain-containing protein 90-like protein
NRRL3_03684	6192	armadillo-like helical domain-containing protein
NRRL3_03685	840	transcriptional regulator TACO1-like protein
NRRL3_03686	2199	centromere protein I-like protein
NRRL3_03687	1905	uncharacterized protein
NRRL3_03688	1155	short-chain dehydrogenase/reductase family protein
NRRL3_03689	1326	ASX homology domain-containing protein
NRRL3_03690	648	protein transport protein Sec22
NRRL3_03691	1047	elongator complex protein 5-like protein
NRRL3_03692	720	uncharacterized protein
NRRL3_03693	1233	FAD-dependent oxidoreductase domain-containing protein
NRRL3_03694	2469	glycoside hydrolase family 63 protein
NRRL3_03695	735	kinase phosphorylation domain-containing protein
NRRL3_03696	2457	ribonucleotide reductase, transcriptional regulator CRT10-like protein
NRRL3_03697	1833	E3 ubiquitin ligase-like protein
NRRL3_03698	705	phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein
NRRL3_03699	3204	uncharacterized protein
NRRL3_03700	990	ribosomal large subunit biogenesis protein Mak16
NRRL3_03701	753	Mso1 N-terminal domain-containing protein
NRRL3_03702	1665	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_03703	3783	P-type ATPase subfamily IV protein
NRRL3_03704	5745	COPII coat assembly protein Sec16
NRRL3_03705	1074	checkpoint protein Hus1-like protein
NRRL3_03706	4125	growth-arrest-specific protein 2 domain-containing protein
NRRL3_03707	2499	GTPase-activating protein
NRRL3_03708	966	Rieske [2Fe-2S] iron-sulfur domain-containing protein
NRRL3_03709	681	aromatic-ring-hydroxylating dioxygenase domain-containing protein
NRRL3_03710	558	Mpv17/peroxisomal membrane protein Pmp22 family protein
NRRL3_03711	3171	hypothetical protein
NRRL3_03712	3321	tetratricopeptide-like helical domain-containing protein
NRRL3_03713	1716	major facilitator superfamily protein
NRRL3_03714	1941	signal recognition particle receptor subunit alpha domain-containing protein
NRRL3_03715	1068	protein transport protein Yif1
NRRL3_03716	450	60S ribosomal protein eL14
NRRL3_03717	609	nascent polypeptide-associated complex subunit alpha
NRRL3_03718	522	ATP synthase, F0 complex, subunit D, mitochondrial
NRRL3_03719	951	hypothetical protein
NRRL3_03720	321	hypothetical protein
NRRL3_03721	1896	aldehyde dehydrogenase domain-containing protein
NRRL3_03722	1428	DNA glycosylase domain-containing protein
NRRL3_03723	1746	amidophosphoribosyltransferase
NRRL3_03724	1842	C-5 cytosine methyltransferase-like protein
NRRL3_03725	1674	2-methylcitrate dehydratase, mitochondrial
NRRL3_03726	1491	major facilitator superfamily protein
NRRL3_03727	1263	amidohydrolase family protein
NRRL3_03728	1719	fungal-specific transcription factor
NRRL3_03729	501	zinc finger domain-containing protein, RING-type
NRRL3_03730	3459	sodium transport ATPase
NRRL3_03731	843	short-chain dehydrogenase/reductase family protein
NRRL3_03732	1467	glutamine synthetase
NRRL3_03733	1629	malate synthase, glyoxysomal
NRRL3_03734	1839	leucine-rich repeat domain-containing protein
NRRL3_03735	462	zinc finger domain-containing protein, CCHC-type
NRRL3_03736	3144	beta-glucosidase
NRRL3_03737	1554	amino acid/polyamine transporter I family protein
NRRL3_03738	3354	ABC transporter-like domain-containing protein
NRRL3_03739	1392	2-methylcitrate synthase McsA, component of the methyl citric acid cycle
NRRL3_03740	1497	hypothetical protein
NRRL3_03741	1737	FAD-linked oxidoreductase
NRRL3_03742	1896	AMP-dependent synthetase/ligase domain-containing protein
NRRL3_03743	1299	FAD-dependent oxidoreductase domain-containing protein
NRRL3_03744	747	anaphase-promoting complex subunit 11-like protein
NRRL3_03745	1251	aminotransferase class I and II family protein
NRRL3_03746	2376	bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial
NRRL3_03747	1155	biotin synthase, mitochondrial
NRRL3_03748	282	hypothetical protein
NRRL3_03749	558	hypothetical protein
NRRL3_03750	1263	FAD-binding domain-containing protein
NRRL3_03751	2043	fungal-specific transcription factor
NRRL3_03752	579	carbohydrate-binding module family 16 protein
NRRL3_03753	1143	hypothetical protein
NRRL3_03754	1740	tannase/feruloyl esterase family protein
NRRL3_03755	2022	two-component system protein
NRRL3_03756	7869	polyketide synthase
NRRL3_03757	627	serine hydrolase Fsh domain-containing protein
NRRL3_03758	1236	hypothetical protein
NRRL3_03759	582	carboxymuconolactone decarboxylase-like protein
NRRL3_03760	1368	FAD-binding domain-containing protein
NRRL3_03761	1641	major facilitator superfamily protein
NRRL3_03762	1809	alcohol oxidase
NRRL3_03763	1683	carboxylesterase family protein
NRRL3_03764	252	hypothetical protein
NRRL3_03765	408	hypothetical protein
NRRL3_03766	867	short-chain dehydrogenase/reductase family protein
NRRL3_03767	2181	metallopeptidase, catalytic domain-containing protein
NRRL3_03768	1500	alpha-arabinofuranosidase Abf54B 
NRRL3_03769	1716	leucine-rich repeat domain-containing protein
NRRL3_03770	1011	ATP synthase assembly factor Atp11-like protein
NRRL3_03771	1254	argininosuccinate synthase
NRRL3_03772	1143	lytic polysaccharide monooxygenase
NRRL3_03773	1425	acetylornithine aminotransferase, mitochondrial
NRRL3_03774	1464	transcription factor Opi1-like protein
NRRL3_03775	1227	fluoride export protein
NRRL3_03776	1203	short-chain dehydrogenase/reductase family protein
NRRL3_03777	1815	peptidase A22B signal peptide peptidase-like protein
NRRL3_03778	999	NmrA-like domain-containing protein
NRRL3_03779	1578	nucleotide-diphospho-sugar transferase domain-containing protein
NRRL3_03780	2256	positive regulator of Gcn2 kinase
NRRL3_03781	2013	fungal-specific transcription factor
NRRL3_03782	1590	aminotransferase class I and II family protein
NRRL3_03783	1521	hypothetical protein
NRRL3_03784	1086	homoisocitrate dehydrogenase
NRRL3_03785	495	hypothetical protein
NRRL3_03786	528	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_03787	765	hypothetical protein
NRRL3_03788	1134	hypothetical protein
NRRL3_03789	2559	dimethylglycine oxidase
NRRL3_03790	708	acyl-CoA N-acyltransferase domain-containing protein
NRRL3_03791	873	aminoglycoside phosphotransferase domain-containing protein
NRRL3_03792	1191	fungal-specific transcription factor
NRRL3_03793	1116	polyketide synthase, enoylreductase domain-containing protein
NRRL3_03794	1131	fasciclin domain-containing protein
NRRL3_03795	447	glutathione-dependent formaldehyde-activating enzyme/centromere protein V domain-containing protein
NRRL3_03796	2802	hypothetical protein
NRRL3_03797	1782	major facilitator superfamily protein
NRRL3_03798	1263	ferrochelatase
NRRL3_03799	1962	ATP-dependent DNA helicase Ku70, involved in non-homologous end joining DNA double strand break repair
NRRL3_03800	936	uncharacterized protein
NRRL3_03801	4890	coiled-coil protein, involved in distribution of nuclei in hyphae and conididiophores
NRRL3_03802	1509	uncharacterized protein
NRRL3_03803	1533	BAR domain-containing protein
NRRL3_03804	2577	hypothetical protein
NRRL3_03805	516	hypothetical protein
NRRL3_03806	201	hypothetical protein
NRRL3_03807	1326	inositol polyphosphate-related phosphatase domain-containing protein
NRRL3_03808	1953	biotin carboxylase, C-terminal domain-containing protein
NRRL3_03809	1692	acetyl-CoA carboxyltransferase domain-containing protein
NRRL3_03810	696	hypothetical protein
NRRL3_03811	564	hypothetical protein
NRRL3_03812	954	peroxisomal 2,4-dienoyl-CoA reductase
NRRL3_03813	1905	hypothetical protein
NRRL3_03814	1176	hypothetical protein
NRRL3_03815	3411	Rab-GTPase-TBC domain-containing protein
NRRL3_03816	5511	citron homology (CNH) domain-containing protein
NRRL3_03817	4473	ABC transporter
NRRL3_03818	1377	hypothetical protein
NRRL3_03819	1023	pyruvate/phosphoenolpyruvate kinase-like domain-containing protein
NRRL3_03820	744	O-methyltransferase family 3 protein
NRRL3_03821	573	trafficking protein particle complex subunit-like protein
NRRL3_03822	831	26S proteasome regulatory subunit Rpn10
NRRL3_03823	1164	Borealin N-terminal domain-containing protein
NRRL3_03824	3654	Rho-type GTPase-activating protein
NRRL3_03825	603	hypothetical protein
NRRL3_03826	1335	ubiquitin-conjugating enzyme E2 domain-containing protein
NRRL3_03827	1239	3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein
NRRL3_03828	1935	GMC oxidoreductase
NRRL3_03829	6177	signal transduction response regulator, receiver domain-containing protein
NRRL3_03830	2805	mechanosensitive ion channel MscS-like protein
NRRL3_03831	1356	tubulin alpha chain
NRRL3_03832	966	mitochondrial thiamine pyrophosphate carrier
NRRL3_03833	1632	taurine dioxygenase TauD/TfdA domain-containing protein
NRRL3_03834	822	PICOT glutaredoxin domain-containing protein
NRRL3_03835	2184	exonuclease, RNase T/DNA polymerase III domain-containing protein
NRRL3_03836	1785	hypothetical protein
NRRL3_03837	1197	aldolase
NRRL3_03838	3042	calcium/calmodulin-dependent protein-kinase-like protein
NRRL3_03839	444	hypothetical protein
NRRL3_03840	1386	glycosyltransferase family 34 protein
NRRL3_03841	321	NADH-ubiquinone oxidoreductase 12 kDa subunit
NRRL3_03842	1551	pH-response regulator protein
NRRL3_03843	648	bromodomain associated domain-containing protein
NRRL3_03844	1482	TAFII55 conserved region-containing protein
NRRL3_03845	612	hypothetical protein
NRRL3_03846	825	crotonase superfamily protein
NRRL3_03847	756	hypothetical protein
NRRL3_03848	783	hypothetical protein
NRRL3_03849	1971	prolyl 3,4-dihydroxylase
NRRL3_03850	1512	myc-type, basic helix-loop-helix domain-containing protein
NRRL3_03851	3945	hypothetical protein
NRRL3_03852	780	hypothetical protein
NRRL3_03853	2103	type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase family protein
NRRL3_03854	1803	mitochondrial ATPase BCS1 domain-containing protein
NRRL3_03855	975	glycoside hydrolase family 43 protein
NRRL3_03856	1329	glycosyltransferase-like protein
NRRL3_03857	4926	kinesin
NRRL3_03858	513	hypothetical protein
NRRL3_03859	453	hypothetical protein
NRRL3_03860	1122	CCAAT-binding transcription factor subunit B
NRRL3_03861	2751	arsenite-resistance protein 2 domain-containing protein
NRRL3_03862	1092	hypothetical protein
NRRL3_03863	1263	bZIP transcription factor
NRRL3_03864	468	fungal-specific transcription factor
NRRL3_03865	1080	dienelactone hydrolase domain-containing protein
NRRL3_03866	918	short-chain dehydrogenase/reductase family protein
NRRL3_03867	1698	disintegrin and metallopeptidase domain-containing protein
NRRL3_03868	951	uncharacterized protein
NRRL3_03869	921	diacylglycerol acyltransferase-like protein
NRRL3_03870	1761	eukaryotic translation initiation factor 3 subunit D
NRRL3_03871	393	hydrophobin-like protein
NRRL3_03872	462	glutathione-dependent formaldehyde-activating enzyme/centromere protein V domain-containing protein
NRRL3_03873	1731	GMC oxidoreductase
NRRL3_03874	1323	hypothetical protein
NRRL3_03875	1749	amino acid/polyamine transporter I family protein
NRRL3_03876	726	hypothetical protein
NRRL3_03877	1557	zinc/cadmium resistance protein
NRRL3_03878	1965	GPI-anchor protein transport PGAP5/Cdc1/Ted1 family protein
NRRL3_03879	1584	high-affinity glucose transporter
NRRL3_03880	1911	partial AB-hydrolase lipase domain-containing protein
NRRL3_03881	1419	oxalate decarboxylase
NRRL3_03882	1524	cytochrome P450
NRRL3_03883	1071	hypothetical protein
NRRL3_03884	4698	RHS repeat-associated core domain-containing protein
NRRL3_03885	2784	cation/hydrogen exchanger domain-containing protein
NRRL3_03886	1662	major facilitator superfamily protein
NRRL3_03887	1437	aldehyde dehydrogenase domain-containing protein
NRRL3_03888	228	hypothetical protein
NRRL3_03889	1404	hypothetical protein
NRRL3_03890	1062	hypothetical protein
NRRL3_03891	7908	polyketide synthase
NRRL3_03892	900	short-chain dehydrogenase/reductase family protein
NRRL3_03893	984	six-bladed beta-propeller, TolB-like domain-containing protein
NRRL3_03894	1311	cytochrome P450-like protein
NRRL3_03895	1323	hypothetical protein
NRRL3_03896	1146	hypothetical protein
NRRL3_03897	1011	NADP-dependent oxidoreductase domain-containing protein
NRRL3_03898	2085	fungal-specific transcription factor
NRRL3_03899	987	DapA-like protein
NRRL3_03900	1260	dimeric alpha-beta barrel domain-containing protein
NRRL3_03901	1155	sialidase-like protein
NRRL3_03902	1632	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_03903	756	short-chain dehydrogenase/reductase family protein
NRRL3_03904	1575	FAD linked oxidase, N-terminal domain-containing protein
NRRL3_03905	1077	NAD-dependent epimerase/dehydratase domain-containing protein
NRRL3_03906	1047	alcohol dehydrogenase domain-containing protein
NRRL3_03907	2139	fungal-specific transcription factor
NRRL3_03908	1563	major facilitator superfamily protein
NRRL3_03909	1365	FAD-dependent oxidoreductase domain-containing protein
NRRL3_03910	741	HAD hydrolase subfamily IA protein
NRRL3_03911	1290	amidohydrolase-related domain-containing protein
NRRL3_03912	1641	cytochrome P450-like protein
NRRL3_03913	933	short-chain dehydrogenase/reductase family protein
NRRL3_03914	1551	fungal-specific transcription factor
NRRL3_03915	1920	fungal-specific transcription factor
NRRL3_03916	1254	NADH:flavin oxidoreductase/NADH oxidase, N-terminal domain-containing protein
NRRL3_03917	1803	hypothetical protein
NRRL3_03918	1059	D-isomer specific 2-hydroxyacid dehydrogenase domain-containing protein
NRRL3_03919	2448	WD repeat-containing protein
NRRL3_03920	582	hypothetical protein
NRRL3_03921	3801	myosin-1
NRRL3_03922	846	optic atrophy 3-like protein
NRRL3_03923	3426	Polo-like kinase
NRRL3_03924	1170	glycoside hydrolase family 78 protein
NRRL3_03925	1569	major facilitator superfamily protein
NRRL3_03926	2007	fungal-specific transcription factor
NRRL3_03927	843	BTB/POZ domain-containing protein
NRRL3_03928	771	xylanase
NRRL3_03929	1023	lytic polysaccharide monooxygenase
NRRL3_03930	1590	major facilitator superfamily protein
NRRL3_03931	1866	fungal-specific transcription factor
NRRL3_03932	2430	Slc26A/SulP transporter family protein
NRRL3_03933	1095	alcohol dehydrogenase domain-containing protein
NRRL3_03934	1053	NAD(P)-binding domain-containing protein
NRRL3_03935	1701	major facilitator superfamily, sugar transporter-like protein
NRRL3_03936	771	GNAT domain-containing protein
NRRL3_03937	1029	hypothetical protein
NRRL3_03938	1083	D-isomer specific 2-hydroxyacid dehydrogenase domain-containing protein
NRRL3_03939	1032	uncharacterized protein
NRRL3_03940	2547	DNA mismatch repair protein, C-terminal domain-containing protein
NRRL3_03941	1278	palmitoyltransferase
NRRL3_03942	2733	hypothetical protein
NRRL3_03943	384	glutathione-dependent formaldehyde-activating enzyme/centromere protein V domain-containing protein
NRRL3_03944	732	uncharacterized protein
NRRL3_03945	2031	fungal-specific transcription factor
NRRL3_03946	1212	wax synthase domain-containing protein
NRRL3_03947	576	hypothetical protein
NRRL3_03948	1482	glycoside hydrolase family 71 protein
NRRL3_03949	1530	glutamate decarboxylase
NRRL3_03950	1038	aldo-keto reductase 
NRRL3_03951	2043	fungal-specific transcription factor
NRRL3_03952	264	hypothetical protein
NRRL3_03953	2460	avenacinase
NRRL3_03954	1536	alpha-mannosyltransferase-like protein
NRRL3_03955	1905	GMC oxidoreductase
NRRL3_03956	2394	heterokaryon incompatibility domain-containing protein
NRRL3_03957	3099	glycerophosphodiester phosphodiesterase Gde1-like protein
NRRL3_03958	2964	glycosyltransferase family 1 protein
NRRL3_03959	1521	annexin A14-like protein
NRRL3_03960	1263	hypothetical protein
NRRL3_03961	1224	lytic polysaccharide monooxygenase
NRRL3_03962	849	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_03963	1761	heterokaryon incompatibility domain-containing protein
NRRL3_03964	1083	NADP-dependent oxidoreductase domain-containing protein
NRRL3_03965	885	membrane protein Sur7/Rim9 family protein
NRRL3_03966	477	PLAC8 motif-containing protein
NRRL3_03967	963	zinc finger domain-containing protein, MYND-type
NRRL3_03968	378	hypothetical protein
NRRL3_03969	756	hypothetical protein
NRRL3_03970	258	hypothetical protein
NRRL3_03971	963	hypothetical protein
NRRL3_03972	1134	beta-lactamase-related protein
NRRL3_03973	2931	nucleoside phosphorylase domain-containing protein
NRRL3_03974	1665	major facilitator superfamily protein, efflux pump
NRRL3_03975	1707	cytochrome P450-like protein
NRRL3_03976	2010	fungal-specific transcription factor
NRRL3_03977	7428	polyketide synthase
NRRL3_03978	1401	fungal-specific transcription factor
NRRL3_03979	1521	cytochrome P450
NRRL3_03980	828	ceramidase-like protein
NRRL3_03981	1776	arylsulfatase-like protein
NRRL3_03982	1521	major facilitator superfamily protein
NRRL3_03983	1383	major facilitator superfamily protein
NRRL3_03984	957	cysteine synthase
NRRL3_03985	1782	fungal-specific transcription factor
NRRL3_03986	735	O-methyltransferase family 3 protein
NRRL3_03988	246	hypothetical protein
NRRL3_03989	999	six-bladed beta-propeller, TolB-like domain-containing protein
NRRL3_03990	309	hypothetical protein
NRRL3_03991	870	short-chain dehydrogenase/reductase family protein
NRRL3_03992	3177	heterokaryon incompatibility domain-containing protein
NRRL3_03993	2067	carboxylesterase family protein
NRRL3_03994	1638	tannase/feruloyl esterase family protein
NRRL3_03995	4629	ABC transporter type 1, transmembrane domain-containing protein
NRRL3_03996	1752	fungal-specific transcription factor
NRRL3_03997	588	RmlC-like cupin domain-containing protein
NRRL3_03998	1107	glycoside hydrolase family 16 protein
NRRL3_03999	999	NmrA-like domain-containing protein
NRRL3_04000	1089	endo-polygalacturonase Pga28II
NRRL3_04001	684	hypothetical protein
NRRL3_04002	543	alpha crystallin/Hsp20 domain-containing protein
NRRL3_04003	828	hypothetical protein
NRRL3_04004	1539	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_04005	801	NADP-dependent mannitol dehydrogenase
NRRL3_04006	1701	major facilitator superfamily protein
NRRL3_04007	951	NmrA-like domain-containing protein
NRRL3_04008	507	hypothetical protein
NRRL3_04009	1962	fungal-specific transcription factor
NRRL3_04010	2361	ferric reductase domain-containing protein
NRRL3_04011	1134	iron permease, plasma membrane
NRRL3_04012	1866	multicopper oxidase
NRRL3_04013	1557	polyamine transporter
NRRL3_04014	1350	amino acid transporter, transmembrane domain-containing protein
NRRL3_04015	1404	leucine-rich repeat domain-containing protein
NRRL3_04016	876	aminoglycoside phosphotransferase domain-containing protein
NRRL3_04017	1236	nucleoside phosphorylase domain-containing protein
NRRL3_04018	1161	GTP binding domain-containing protein
NRRL3_04019	5142	WD repeat-containing protein
NRRL3_04020	1251	protein kinase domain-containing protein
NRRL3_04021	288	hypothetical protein
NRRL3_04022	1884	flavin monooxygenase-like protein
NRRL3_04023	267	small nuclear ribonucleoprotein F
NRRL3_04024	483	uncharacterized protein
NRRL3_04025	1269	hypothetical protein
NRRL3_04026	2955	DDHD domain-containing protein
NRRL3_04027	2142	MoeA domain-containing protein
NRRL3_04028	603	V-type proton ATPase subunit c''
NRRL3_04029	630	Ras-related protein
NRRL3_04030	1011	inositolphosphorylceramide synthase subunit Kei1-like protein
NRRL3_04031	4584	flavodoxin-like protein
NRRL3_04032	960	DNA-directed RNA polymerase III subunit Rpc5-like protein
NRRL3_04033	4104	DNA-directed RNA polymerase-like protein
NRRL3_04034	2838	xylanolytic transcriptional activator XlnR
NRRL3_04035	1107	radical SAM domain-containing protein
NRRL3_04036	606	hypothetical protein
NRRL3_04037	1602	fungal-specific transcription factor
NRRL3_04038	792	hypothetical protein
NRRL3_04039	1110	uncharacterized protein
NRRL3_04040	1206	tetratricopeptide-like helical domain-containing protein
NRRL3_04041	2508	ergothioneine biosynthesis protein 1
NRRL3_04042	1416	aldehyde dehydrogenase domain-containing protein
NRRL3_04043	300	hypothetical protein
NRRL3_04044	1161	hypothetical protein
NRRL3_04045	336	transcription initiation factor IIA subunit 2
NRRL3_04046	333	hypothetical protein
NRRL3_04047	1875	non-catalytic hexokinase-like protein, involved in regulation of extracellular proteases in response to carbon starvation
NRRL3_04048	978	gamma interferon inducible lysosomal thiol reductase-like protein
NRRL3_04049	963	hypothetical protein
NRRL3_04050	1752	major facilitator superfamily protein
NRRL3_04051	963	short-chain dehydrogenase/reductase family protein
NRRL3_04052	2394	gamma-tubulin complex protein 4
NRRL3_04053	3105	ubiquitin-activating enzyme E1
NRRL3_04054	1011	glutathione S-transferase
NRRL3_04055	1758	mitochondrial carrier protein-like protein
NRRL3_04056	906	RNA polymerase II holoenzyme cyclin-like subunit
NRRL3_04057	606	uncharacterized protein
NRRL3_04058	348	hypothetical protein
NRRL3_04059	783	v-SNARE
NRRL3_04060	1338	zinc finger domain-containing protein, TRAF-type and RING-type
NRRL3_04061	2448	heterokaryon incompatibility domain-containing protein
NRRL3_04062	960	phytanoyl-CoA dioxygenase-like protein
NRRL3_04063	987	component of the plasma membrane-associated VapA-VipC-VapB methyltransferase complex
NRRL3_04064	3120	importin beta N-terminal domain-containing protein
NRRL3_04065	882	HORMA domain-containing protein
NRRL3_04066	2136	In Between Ring fingers domain-containing protein
NRRL3_04067	1191	GNAT domain-containing protein
NRRL3_04068	1068	sister chromatid cohesion protein Dcc1-like protein
NRRL3_04069	1476	glycosyltransferase family 62 protein
NRRL3_04070	1038	short-chain dehydrogenase/reductase family protein
NRRL3_04071	1071	alcohol dehydrogenase domain-containing protein
NRRL3_04072	1338	tRNA-binding domain-containing protein
NRRL3_04073	1083	sodium/potassium/calcium exchanger-like protein
NRRL3_04074	1275	aspartic peptidase-like protein
NRRL3_04075	1032	cytosolic Fe-S cluster assembly factor Nbp35
NRRL3_04076	2910	phosphatidylethanolamine N-methyltransferase
NRRL3_04077	975	exoribonuclease domain-containing protein
NRRL3_04078	492	hypothetical protein
NRRL3_04079	282	hypothetical protein
NRRL3_04080	441	hypothetical protein
NRRL3_04081	2049	hypothetical protein
NRRL3_04082	1815	proline-tRNA ligase, cytosolic
NRRL3_04083	1701	T-complex protein 1 subunit alpha
NRRL3_04084	2136	WD repeat-containing protein
